"동별(1)",동별(2),동별(3),2022. 12,2022. 12,2022. 12,2022. 12,2022. 12,2022. 12,2022. 12,2023. 01,2023. 01,2023. 01,2023. 01,2023. 01,2023. 01,2023. 01,2023. 02,2023. 02,2023. 02,2023. 02,2023. 02,2023. 02,2023. 02
"동별(1)",동별(2),동별(3),합계 (명),합계 (명),합계 (명),한국인,한국인,외국인,외국인,합계 (명),합계 (명),합계 (명),한국인,한국인,외국인,외국인,합계 (명),합계 (명),합계 (명),한국인,한국인,외국인,외국인
"동별(1)",동별(2),동별(3),소계,남자,여자,남자,여자,남자,여자,소계,남자,여자,남자,여자,남자,여자,소계,남자,여자,남자,여자,남자,여자
"합계",도봉구,방학3동,26500,12814,13686,12792,13636,22,50,26479,12805,13674,12784,13623,21,51,26510,12825,13685,12804,13633,21,52
"합계",도봉구,창1동,24502,11650,12852,11599,12760,51,92,24471,11640,12831,11589,12741,51,90,24452,11624,12828,11572,12737,52,91
"합계",도봉구,창2동,28957,14039,14918,13925,14749,114,169,28913,14016,14897,13903,14727,113,170,28863,13996,14867,13883,14684,113,183
"합계",도봉구,창3동,13633,6775,6858,6746,6800,29,58,13591,6751,6840,6722,6782,29,58,13546,6724,6822,6694,6760,30,62
"합계",도봉구,창4동,26121,12512,13609,12471,13545,41,64,26060,12488,13572,12447,13511,41,61,26019,12466,13553,12425,13491,41,62
"합계",도봉구,창5동,24343,11632,12711,11598,12628,34,83,24346,11635,12711,11599,12628,36,83,24295,11611,12684,11575,12602,36,82
"합계",도봉구,도봉1동,20622,10301,10321,10246,10224,55,97,20608,10286,10322,10230,10226,56,96,20575,10276,10299,10218,10200,58,99
"합계",도봉구,도봉2동,26359,12885,13474,12830,13401,55,73,26304,12852,13452,12797,13379,55,73,26262,12821,13441,12767,13365,54,76
"합계",노원구,월계1동,21580,11099,10481,10765,10151,334,330,21526,11060,10466,10730,10140,330,326,21566,11098,10468,10765,10145,333,323
"합계",노원구,월계2동,26066,12522,13544,12472,13453,50,91,26062,12523,13539,12473,13451,50,88,26084,12532,13552,12482,13465,50,87
"합계",노원구,월계3동,29384,14025,15359,13955,15250,70,109,29381,14030,15351,13960,15241,70,110,29280,13987,15293,13920,15186,67,107
"합계",노원구,공릉2동,42538,20702,21836,20411,21417,291,419,42486,20669,21817,20369,21359,300,458,42537,20709,21828,20406,21411,303,417
"합계",노원구,하계1동,26982,12896,14086,12643,13798,253,288,26789,12785,14004,12526,13708,259,296,27107,12975,14132,12727,13841,248,291
"합계",노원구,하계2동,21642,10253,11389,10232,11361,21,28,21624,10260,11364,10239,11336,21,28,21567,10232,11335,10211,11306,21,29
"합계",노원구,중계본동,23477,11395,12082,11378,12045,17,37,23426,11376,12050,11359,12013,17,37,23430,11382,12048,11365,12010,17,38
"합계",노원구,중계1동,26580,12953,13627,12917,13563,36,64,26559,12926,13633,12891,13570,35,63,26564,12933,13631,12898,13568,35,63
"합계",노원구,중계4동,19601,9426,10175,9358,10139,68,36,19594,9432,10162,9364,10128,68,34,19520,9391,10129,9323,10094,68,35
"합계",노원구,상계1동,37857,18275,19582,18223,19484,52,98,37791,18244,19547,18189,19449,55,98,37744,18212,19532,18158,19430,54,102
"합계",노원구,상계2동,19629,9644,9985,9569,9897,75,88,19638,9644,9994,9569,9901,75,93,19637,9652,9985,9583,9894,69,91
"합계",노원구,상계5동,23737,11490,12247,11446,12159,44,88,23683,11454,12229,11410,12141,44,88,23635,11424,12211,11378,12120,46,91
